648,"(198, 197)"
649,"(224, 197)"
650,"(225, 197)"
651,"(199, 198)"
652,"(225, 198)"
653,"(226, 198)"
654,"(200, 199)"
655,"(226, 199)"
656,"(227, 199)"
657,"(201, 200)"
658,"(227, 200)"
659,"(228, 200)"
660,"(202, 201)"
661,"(228, 201)"
662,"(229, 201)"
663,"(203, 202)"
664,"(229, 202)"
665,"(230, 202)"
666,"(204, 203)"
667,"(230, 203)"
668,"(231, 203)"
669,"(205, 204)"
670,"(231, 204)"
671,"(232, 204)"
672,"(206, 205)"
673,"(232, 205)"
674,"(233, 205)"
675,"(207, 206)"
676,"(233, 206)"
677,"(234, 206)"
678,"(208, 207)"
679,"(234, 207)"
680,"(235, 207)"
681,"(209, 208)"
682,"(235, 208)"
683,"(236, 208)"
684,"(210, 209)"
685,"(236, 209)"
686,"(237, 209)"
687,"(211, 210)"
688,"(237, 210)"
689,"(238, 210)"
690,"(212, 211)"
691,"(238, 211)"
692,"(239, 211)"
693,"(213, 212)"
694,"(239, 212)"
695,"(240, 212)"
696,"(214, 213)"
697,"(240, 213)"
698,"(241, 213)"
699,"(215, 214)"
700,"(241, 214)"
701,"(242, 214)"
702,"(216, 215)"
703,"(242, 215)"
704,"(243, 215)"
705,"(217, 216)"
706,"(243, 216)"
707,"(244, 216)"
708,"(218, 217)"
709,"(244, 217)"
710,"(245, 217)"
711,"(219, 218)"
712,"(245, 218)"
713,"(246, 218)"
714,"(220, 219)"
715,"(246, 219)"
716,"(247, 219)"
717,"(221, 220)"
718,"(247, 220)"
719,"(248, 220)"
720,"(222, 221)"
721,"(248, 221)"
722,"(249, 221)"
723,"(223, 222)"
724,"(249, 222)"
725,"(250, 222)"
726,"(250, 223)"
727,"(251, 223)"
728,"(251, 224)"
729,"(225, 224)"
730,"(252, 224)"
731,"(253, 224)"
732,"(226, 225)"
733,"(253, 225)"
734,"(254, 225)"
735,"(227, 226)"
736,"(254, 226)"
737,"(255, 226)"
738,"(228, 227)"
739,"(255, 227)"
740,"(256, 227)"
741,"(229, 228)"
742,"(256, 228)"
743,"(257, 228)"
744,"(230, 229)"
745,"(257, 229)"
746,"(258, 229)"
747,"(231, 230)"
748,"(258, 230)"
749,"(259, 230)"
750,"(232, 231)"
751,"(259, 231)"
752,"(260, 231)"
753,"(233, 232)"
754,"(260, 232)"
755,"(261, 232)"
756,"(234, 233)"
757,"(261, 233)"
758,"(262, 233)"
759,"(235, 234)"
760,"(262, 234)"
761,"(263, 234)"
762,"(236, 235)"
763,"(263, 235)"
764,"(264, 235)"
765,"(237, 236)"
766,"(264, 236)"
767,"(265, 236)"
768,"(238, 237)"
769,"(265, 237)"
770,"(266, 237)"
771,"(239, 238)"
772,"(266, 238)"
773,"(267, 238)"
774,"(240, 239)"
775,"(267, 239)"
776,"(268, 239)"
777,"(241, 240)"
778,"(268, 240)"
779,"(269, 240)"
780,"(242, 241)"
781,"(269, 241)"
782,"(270, 241)"
783,"(243, 242)"
784,"(270, 242)"
785,"(271, 242)"
786,"(244, 243)"
787,"(271, 243)"
788,"(272, 243)"
789,"(245, 244)"
790,"(272, 244)"
791,"(273, 244)"
792,"(246, 245)"
793,"(273, 245)"
794,"(274, 245)"
795,"(247, 246)"
796,"(274, 246)"
797,"(275, 246)"
798,"(248, 247)"
799,"(275, 247)"
800,"(276, 247)"
801,"(249, 248)"
802,"(276, 248)"
803,"(277, 248)"
804,"(250, 249)"
805,"(277, 249)"
806,"(278, 249)"
807,"(251, 250)"
808,"(278, 250)"
809,"(279, 250)"
810,"(279, 251)"
811,"(252, 251)"
812,"(279, 252)"
813,"(253, 252)"
814,"(307, 252)"
